año,carrera,circuito,piloto,equipo,posicion_final,gano,podio,puntos_obtenidos,experiencia_carreras,posicion_parrilla,promedio_posicion_ponderado,promedio_puntos_ponderado,forma_reciente_3_carreras,puntos_ultimas_3,podios_ultimas_5,consistencia_std,tasa_finalizacion,promedio_parrilla,mejora_parrilla_carrera,promedio_posicion_circuito,experiencia_circuito
2025,Spanish Grand Prix,Barcelona,HAM,Ferrari,6.0,0,0,8.0,78,5.0,5.055793625041159,12.500989012496333,5.666666666666667,27.0,3,4.143769922525763,0.9487179487179487,5.576923076923077,0.7307692307692307,2.75,4
2024,Dutch Grand Prix,Zandvoort,HAM,Mercedes,8.0,0,0,4.0,79,14.0,5.081741114760968,12.372699713525112,6.0,25.0,2,4.119167756418484,0.9493670886075949,5.569620253164557,0.7088607594936709,4.0,3
2022,Emilia Romagna Grand Prix,Imola,HAM,Mercedes,13.0,0,0,0.0,80,14.0,5.164024747010986,12.135521600774188,5.666666666666667,27.0,1,4.108034732945744,0.95,5.675,0.775,4.0,3
2022,Austrian Grand Prix,Spielberg,HAM,Mercedes,3.0,0,1,15.0,81,8.0,5.384533157009574,11.79609191012721,9.0,12.0,1,4.180310993215696,0.9382716049382716,5.777777777777778,0.7777777777777778,3.0,2
2024,Italian Grand Prix,Monza,HAM,Mercedes,5.0,0,0,10.0,82,6.0,5.313435026545458,11.894419937699116,8.0,19.0,2,4.160293228495335,0.9390243902439024,5.804878048780488,0.8292682926829268,9.333333333333334,3
2025,Canadian Grand Prix,Montréal,HAM,Ferrari,6.0,0,0,8.0,83,5.0,5.301372022614496,11.849000453523658,7.0,25.0,1,4.134848637965992,0.9397590361445783,5.807228915662651,0.8313253012048193,3.3333333333333335,3
2023,Azerbaijan Grand Prix,Baku,HAM,Mercedes,6.0,0,0,8.0,84,5.0,5.317397583072239,11.750666095889464,4.666666666666667,33.0,1,4.111383103891561,0.9404761904761905,5.7976190476190474,0.8095238095238095,9.5,2
2022,São Paulo Grand Prix,São Paulo,HAM,Mercedes,2.0,0,1,18.0,85,2.0,5.332752630962477,11.656727836092188,5.666666666666667,26.0,1,4.088310863215481,0.9411764705882353,5.788235294117647,0.788235294117647,1.0,1
2025,Austrian Grand Prix,Spielberg,HAM,Ferrari,4.0,0,0,12.0,86,4.0,5.240288427514626,11.834886253622853,4.666666666666667,34.0,2,4.077045280790271,0.9418604651162791,5.744186046511628,0.7790697674418605,3.0,3
2024,Azerbaijan Grand Prix,Baku,HAM,Mercedes,9.0,0,0,2.0,87,19.0,5.205100355113094,11.845754837579832,4.0,38.0,1,4.054592704509959,0.9425287356321839,5.724137931034483,0.7701149425287356,8.333333333333334,3
2023,Austrian Grand Prix,Spielberg,HAM,Mercedes,8.0,0,0,4.0,88,5.0,5.302500373983972,11.59406851169061,5.0,32.0,1,4.054230088339265,0.9431818181818182,5.875,0.875,3.25,4
2025,British Grand Prix,Silverstone,HAM,Ferrari,4.0,0,0,12.0,89,5.0,5.369697000519651,11.40525326363406,7.0,18.0,1,4.043652259468613,0.9438202247191011,5.865168539325842,0.8314606741573034,2.0,4
2023,Belgian Grand Prix,Spa-Francorchamps,HAM,Mercedes,4.0,0,0,13.0,90,3.0,5.331547924869266,11.429448403881787,7.0,18.0,1,4.022347064229863,0.9444444444444444,5.855555555555555,0.8333333333333334,8.0,3
2024,Singapore Grand Prix,Marina Bay,HAM,Mercedes,6.0,0,0,8.0,91,3.0,5.2951358899814505,11.477683588320792,5.333333333333333,29.0,0,4.00137339059841,0.945054945054945,5.824175824175824,0.8131868131868132,6.0,2
2024,Mexico City Grand Prix,Mexico City,HAM,Mercedes,4.0,0,0,12.0,92,6.0,5.310466231675166,11.39834456181235,4.666666666666667,33.0,0,3.98066276680999,0.9456521739130435,5.793478260869565,0.7717391304347826,2.0,3
2025,Hungarian Grand Prix,Budapest,HAM,Ferrari,12.0,0,0,0.0,93,12.0,5.275616503176557,11.421349607044341,4.666666666666667,33.0,0,3.96038706841267,0.946236559139785,5.795698924731183,0.7849462365591398,2.75,4
2023,Qatar Grand Prix,Lusail,HAM,Mercedes,19.0,0,0,0.0,94,3.0,5.4384820214944725,11.148894185922513,7.333333333333333,20.0,0,4.004458736646839,0.9361702127659575,5.861702127659575,0.776595744680851,1.0,1
2024,Las Vegas Grand Prix,Las Vegas,HAM,Mercedes,2.0,0,1,18.0,95,10.0,5.76444535034307,10.887648211136698,11.666666666666666,12.0,0,4.231222929650851,0.9263157894736842,5.831578947368421,0.6,7.0,1
2025,Dutch Grand Prix,Zandvoort,HAM,Ferrari,20.0,0,0,0.0,96,7.0,5.668738081189703,11.069251780702013,11.0,18.0,1,4.221797550973223,0.9270833333333334,5.875,0.6770833333333334,5.0,4
2023,United States Grand Prix,Austin,HAM,Mercedes,19.0,0,0,0.0,97,3.0,6.004912339737038,10.81531989987538,13.666666666666666,18.0,1,4.460570864795508,0.9175257731958762,5.88659793814433,0.5360824742268041,2.0,2
2024,Abu Dhabi Grand Prix,Yas Island,HAM,Mercedes,4.0,0,0,12.0,98,16.0,6.304039053475209,10.571463623895053,13.666666666666666,18.0,1,4.6467922600904785,0.9081632653061225,5.857142857142857,0.3673469387755102,9.666666666666666,3
2025,Italian Grand Prix,Monza,HAM,Ferrari,6.0,0,0,8.0,99,10.0,6.241985230407267,10.616611707867174,14.333333333333334,12.0,1,4.625447434161645,0.9090909090909091,5.959595959595959,0.48484848484848486,8.25,4
2023,São Paulo Grand Prix,São Paulo,HAM,Mercedes,8.0,0,0,4.0,100,5.0,6.228728470089427,10.567445617785506,9.666666666666666,20.0,1,4.602327035469572,0.91,6.0,0.52,1.5,2
2024,Pre-Season Testing,Sakhir,HAM,Mercedes,6.0,0,0,8.0,101,3.0,6.2618457435148605,10.428628215303455,6.0,24.0,0,4.586117666122922,0.9108910891089109,5.99009900990099,0.48514851485148514,4.0,6
2025,Azerbaijan Grand Prix,Baku,HAM,Ferrari,8.0,0,0,4.0,102,12.0,6.248639161116851,10.385384706506509,6.666666666666667,20.0,0,4.56362088749021,0.9117647058823529,5.96078431372549,0.45098039215686275,8.5,4
2025,Singapore Grand Prix,Marina Bay,HAM,Ferrari,8.0,0,0,4.0,103,6.0,6.280894286037596,10.25398499144076,7.333333333333333,16.0,0,4.547818985957008,0.912621359223301,6.019417475728155,0.4854368932038835,6.0,3
2024,Chinese Grand Prix,Shanghai,HAM,Mercedes,9.0,0,0,2.0,104,18.0,6.312081379165322,10.127340245007975,7.333333333333333,16.0,0,4.532143930132339,0.9134615384615384,6.019230769230769,0.46153846153846156,6.312081379165322,0
2024,Miami Grand Prix,Miami,HAM,Mercedes,6.0,0,0,8.0,105,8.0,6.364212431469961,9.96128800832184,8.333333333333334,10.0,0,4.522795336479161,0.9142857142857143,6.133333333333334,0.5428571428571428,6.0,2
